IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch,Port Authority,K500,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XS,Uniform,Clothing,Campus,Specialist,a4bA00000016hDaIAI
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",15,Uniform,Clothing,Campus,General,a4bA00000016hAMIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",12,Uniform,Clothing,Campus,General,a4bA00000016h9TIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",13,Uniform,Clothing,Campus,General,a4bA00000016h9FIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",11.5,Uniform,Clothing,Campus,General,a4bA00000016h9OIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",S,Uniform,Clothing,Campus,Specialist,a4bA00000016hBPIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XS,Uniform,Clothing,Campus,Specialist,a4bA00000016hBFIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",14,Uniform,Clothing,Campus,General,a4bA00000016h9UIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",11,Uniform,Clothing,Campus,General,a4bA00000016h9JIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",M,Uniform,Clothing,Campus,Specialist,a4bA00000016hBQIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",L,Uniform,Clothing,Campus,Specialist,a4bA00000016hBRIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hBUIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",L,Uniform,Clothing,Campus,Specialist,a4bA00000016hCIIAY
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",M,Uniform,Clothing,Retail,Specialist,a4bA00000015tSkIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",XS,Uniform,Clothing,Retail,Specialist,a4bA00000015tSjIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",XL,Uniform,Clothing,Retail,Specialist,a4bA00000015tSyIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",2XL,Uniform,Clothing,Retail,Specialist,a4bA00000015tSzIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",L,Uniform,Clothing,Retail,Specialist,a4bA00000015tStIAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",3XL,Uniform,Clothing,Retail,Specialist,a4bA00000015tT3IAI
Nexus,Apple Retail,Retail,Silk Touch,Port Authority,K500,Short Sleeve,Black,"","","","","","","","",S,Uniform,Clothing,Retail,Specialist,a4bA00000015tSoIAI
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",M,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTIIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",L,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTNIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",S,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTDIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",XL,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTEIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",2XL,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTFIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",4XL,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTGIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hCNIAY
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",XS,Uniform,Clothing,Administration,Receptionist,a4bA00000015tT8IAI
SIS Admin,SIS Corp Internal Services,No Group,Ladies 3/4,Port Authority,L6290,Short Sleeve,Raspberry,"","","","","","","","",3XL,Uniform,Clothing,Administration,Receptionist,a4bA00000015tTSIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",3XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hCcIAI
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",M,Uniform,Clothing,Campus,Specialist,a4bA00000016hCDIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",4XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hChIAI
AMPAS,AMPAS Master,Special Operations,100% Polyester Uniform Trousers,LawPro Uni,TT091,"",Heather Grey,"","","","","","","","",34,Uniform,Clothing,SpecOps,General,a4bA0000000NggxIAC
"Apple, Inc./Beats",Beats CC,"Apple, Inc./Beats",1 1/2" Leather Garrison,Boston Leather,H02 2396,"",Black,"","","","","","","","",54,Uniform,Clothing,Campus,General,a4bA00000016h1yIAA
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",S,Uniform,Clothing,Campus,Specialist,a4bA00000016hC8IAI
"Apple, Inc./Beats",Beats CC,"Apple, Inc./Beats",1 1/2" Leather Garrison,Boston Leather,H02 2396,"",Black,"","","","","","","","",52,Uniform,Clothing,Campus,General,a4bA00000016h1tIAA
"Apple, Inc./Beats",Beats CC,"Apple, Inc./Beats",1 1/2" Leather Garrison,Boston Leather,H02 2396,"",Black,"","","","","","","","",56,Uniform,Clothing,Campus,General,a4bA00000016h23IAA
"Apple, Inc./Beats",Beats CC,"Apple, Inc./Beats",1 1/2" Leather Garrison,Boston Leather,H02 2396,"",Black,"","","","","","","","",62,Uniform,Clothing,Campus,General,a4bA00000016h2NIAQ
"Apple, Inc./Beats",Beats CC,"Apple, Inc./Beats",1 1/2" Leather Garrison,Boston Leather,H02 2396,"",Black,"","","","","","","","",58,Uniform,Clothing,Campus,General,a4bA00000016h28IAA
"Apple, Inc./Beats",Beats CC,"Apple, Inc./Beats",1 1/2" Leather Garrison,Boston Leather,H02 2396,"",Black,"","","","","","","","",60,Uniform,Clothing,Campus,General,a4bA00000016h2IIAQ
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XS,Uniform,Clothing,Campus,Specialist,a4bA00000016hC3IAI
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",2XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hCSIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",3XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hBVIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch,Port Authority,K500,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",3XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hKqIAI
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",4XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hBWIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",2XL,Uniform,Clothing,Campus,Specialist,a4bA00000016hBZIAY
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",XS,Uniform,Clothing,Campus,Specialist,a4bA00000015uhHIAQ
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",S,Uniform,Clothing,Campus,Specialist,a4bA00000015uhIIAQ
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",3XL,Uniform,Clothing,Campus,Specialist,a4bA00000015uhbIAA
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",XL,Uniform,Clothing,Campus,Specialist,a4bA00000015uhWIAQ
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",L,Uniform,Clothing,Campus,Specialist,a4bA00000015uhRIAQ
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",2XL,Uniform,Clothing,Campus,Specialist,a4bA00000015uhSIAQ
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",M,Uniform,Clothing,Campus,Specialist,a4bA00000015uhJIAQ
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,"","","","","","","","",4XL,Uniform,Clothing,Campus,Specialist,a4bA00000015uhgIAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",22,Uniform,Clothing,Campus,Specialist,a4bA000000178GHIAY
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",24,Uniform,Clothing,Campus,Specialist,a4bA000000178GIIAY
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",2,Uniform,Clothing,Campus,Specialist,a4bA000000178FOIAY
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",10,Uniform,Clothing,Campus,Specialist,a4bA000000178FPIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",11,Uniform,Clothing,Campus,General,a4bA000000178L2IAI
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",12,Uniform,Clothing,Campus,Specialist,a4bA000000178FxIAI
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",16,Uniform,Clothing,Campus,Specialist,a4bA000000178FyIAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",10,Uniform,Clothing,Campus,Specialist,a4bA000000178H5IAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",10,Uniform,Clothing,Campus,General,a4bA000000178J6IAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",11,Uniform,Clothing,Campus,General,a4bA000000178J7IAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",2,Uniform,Clothing,Campus,Specialist,a4bA000000178GgIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",4.5,Uniform,Clothing,Campus,General,a4bA000000178K4IAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",6.5,Uniform,Clothing,Campus,General,a4bA000000178KOIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",7,Uniform,Clothing,Campus,General,a4bA000000178KPIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",14,Uniform,Clothing,Campus,General,a4bA000000178LMIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",5.5,Uniform,Clothing,Campus,General,a4bA000000178ISIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",7,Uniform,Clothing,Campus,General,a4bA000000178IcIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",15,Uniform,Clothing,Campus,General,a4bA000000178LNIAY
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",6,Uniform,Clothing,Campus,Specialist,a4bA000000178FYIAY
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",18,Uniform,Clothing,Campus,Specialist,a4bA000000178G7IAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",10.5,Uniform,Clothing,Campus,General,a4bA000000178KxIAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",12,Uniform,Clothing,Campus,Specialist,a4bA000000178HAIAY
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",4,Uniform,Clothing,Campus,Specialist,a4bA000000178GlIAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",8,Uniform,Clothing,Campus,Specialist,a4bA000000178GmIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",6.5,Uniform,Clothing,Campus,General,a4bA000000178IXIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",8.5,Uniform,Clothing,Campus,General,a4bA000000178IwIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",9,Uniform,Clothing,Campus,General,a4bA000000178J1IAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",5,Uniform,Clothing,Campus,General,a4bA000000178INIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",6,Uniform,Clothing,Campus,General,a4bA000000178IOIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",5.5,Uniform,Clothing,Campus,General,a4bA000000178KJIAY
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",8,Uniform,Clothing,Campus,Specialist,a4bA000000178FdIAI
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",20,Uniform,Clothing,Campus,Specialist,a4bA000000178GCIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",8,Uniform,Clothing,Campus,General,a4bA000000178IrIAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",5,Uniform,Clothing,Campus,Specialist,a4bA000000178GqIAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",18,Uniform,Clothing,Campus,Specialist,a4bA000000178GrIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",5,Uniform,Clothing,Campus,General,a4bA000000178K9IAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",10,Uniform,Clothing,Campus,General,a4bA000000178KsIAI
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",14,Uniform,Clothing,Campus,Specialist,a4bA000000178G2IAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",22,Uniform,Clothing,Campus,Specialist,a4bA000000178HUIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",7.5,Uniform,Clothing,Campus,General,a4bA000000178IhIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",9.5,Uniform,Clothing,Campus,General,a4bA000000178IiIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",4,Uniform,Clothing,Campus,General,a4bA000000178JzIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",6,Uniform,Clothing,Campus,General,a4bA000000178K0IAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",9,Uniform,Clothing,Campus,General,a4bA000000178K1IAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",20,Uniform,Clothing,Campus,Specialist,a4bA000000178FzIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",7.5,Uniform,Clothing,Campus,General,a4bA000000178KTIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",Women's 9" Side Zip Boot,Original SWAT,H00 2362,"",Black,"","","","","","","","",10.5,Uniform,Clothing,Campus,General,a4bA000000178JBIAY
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",14,Uniform,Clothing,Campus,Specialist,a4bA000000178HPIAY
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",16,Uniform,Clothing,Campus,Specialist,a4bA000000178HQIAY
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",4,Uniform,Clothing,Campus,Specialist,a4bA000000178FTIAY
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",6,Uniform,Clothing,Campus,Specialist,a4bA000000178GvIAI
Nike,"Nike NY, NYC",Nike,24/7 Classic Pant,TRU-SPEC,H02 9672,"",Black,"","","","","","","","",24,Uniform,Clothing,Campus,Specialist,a4bA000000178GwIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",8.5,Uniform,Clothing,Campus,General,a4bA000000178KiIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",9.5,Uniform,Clothing,Campus,General,a4bA000000178KjIAI
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",8,Uniform,Clothing,Campus,General,a4bA000000178KYIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",11.5,Uniform,Clothing,Campus,General,a4bA000000178KZIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",12,Uniform,Clothing,Campus,General,a4bA000000178LHIAY
"Apple, Inc.",Cupertino Secure Destruction,"Apple, Inc.",CLASSIC 9" SZ SAFETY PLUS Boot,Original SWAT,116001,"",Black,"","","","","","","","",13,Uniform,Clothing,Campus,General,a4bA000000178LIIAY
Acorn,"Amazon Acorn WA, Seattle",Acorn,Men's Air Monarch IV Shoes,Nike,H03 6830,"",Black,"","","","","","","","",6,Uniform,Clothing,Campus,General,a4bA00000016h78IAA
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",4XL,Uniform,Clothing,Campus,Specialist,a4bA00000016LGSIA2
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XS,Uniform,Clothing,Campus,Specialist,a4bA00000016L47IAE
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",2XL,Uniform,Clothing,Campus,Specialist,a4bA00000016L5KIAU
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",5XL,Uniform,Clothing,Campus,Specialist,a4bA00000016LGXIA2
Amazon,Amazon SLU,Amazon.com,Wrinkle Resistant Flat Front 100% Cotton Twill with Scotchgard Pant,George Uniform Company,552909951,"",Khaki,"","","","","","","","",32,Uniform,Clothing,Campus,General,a4bA00000016LZZIA2
Amazon,Amazon SLU,Amazon.com,Wrinkle Resistant Flat Front 100% Cotton Twill with Scotchgard Pant,George Uniform Company,552909951,"",Khaki,"","","","","","","","",30,Uniform,Clothing,Campus,General,a4bA00000016LZaIAM
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Grey,SES61C,Left Chest,SES61C,Right Sleeve,"","","","",3XL,Uniform,Clothing,Campus,Specialist,a4bA00000016LTRIA2
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Grey,SES61C,Left Chest,SES61C,Right Sleeve,"","","","",S,Uniform,Clothing,Campus,Specialist,a4bA00000016LTCIA2
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Grey,SES61C,Left Chest,SES61C,Right Sleeve,"","","","",L,Uniform,Clothing,Campus,Specialist,a4bA00000016LTDIA2
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Grey,SES61C,Left Chest,SES61C,Right Sleeve,"","","","",XL,Uniform,Clothing,Campus,Specialist,a4bA00000016LTEIA2
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Red,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",XS,Uniform,Clothing,Campus,Supervisor,a4bA00000016LQDIA2
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540,Short Sleeve,Royal Blue,SES61B,Left Chest,SES61B,Right Sleeve,"","","","",M,Uniform,Clothing,Campus,Specialist,a4bA00000016L50IAE
Amazon,Amazon SLU,Amazon.com,Silk Touch Performance,Port Authority,K540LS,Long Sleeve,Black,"","","","","","","","",3XL,Uniform,Clothing,Campus,Specialist,a4bA00000016LVhIAM
